state,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
NY,2023-03,2506597428.690001,28199754,14240821,24839
NY,2024-05,2438756196.0500007,24963127,11561985,23844
NY,2023-05,2421989433.91,26812511,13384887,24734
NY,2024-03,2416706387.45,24730860,11497137,23674
NY,2024-01,2415376278.2200003,25289293,12251584,24184
NY,2023-10,2378885091.5399995,25964460,12896929,24240
NY,2024-07,2374768190.22,23780873,10790806,22747
NY,2023-01,2356634472.96,26131319,13213923,24103
NY,2023-08,2340992526.6700006,25504754,12839839,23956
NY,2023-12,2336080097.5200005,24018126,11326894,22585
NY,2023-06,2330500373.1399994,25337295,12575791,24174
NY,2023-11,2316462262.3400006,24681384,12027789,23427
NY,2022-12,2313906993.1399984,25082053,12314311,22549
NY,2022-11,2304011900.1499996,25377337,12914299,23137
NY,2024-04,2289602610.28,23690036,11231148,23555
CA,2024-05,2276923911.3,40475803,29545224,24374
NY,2023-09,2275240179.1000013,24229389,11955458,23100
NY,2024-06,2272232504.2200007,22570023,10267858,22448
NY,2024-02,2265037525.9700003,23483086,11209907,23127
NY,2022-10,2262128174.8400006,25064533,12813203,23378
NY,2023-07,2257745285.4900002,23854099,11559252,22826
CA,2024-04,2247502335.0699987,40461603,29620994,24490
NY,2023-04,2238082377.96,24262605,12013789,23228
NY,2022-08,2207285344.5099998,25397990,12919213,23455
CA,2024-01,2194518347.0299993,39271114,28658949,24406
CA,2024-03,2187716818.9099994,39320011,28929041,24479
NY,2022-05,2177547190.7800007,25008606,12465025,23480
NY,2024-10,2177148265.23,22780209,10866682,21995
NY,2022-03,2176777652.4599996,26195124,13500424,24699
NY,2023-02,2169742703.130001,24097774,12305891,22792
NY,2022-06,2163455961.079999,24691534,12430917,23593
NY,2022-09,2146255364.3700001,24715817,12660589,23269
NY,2022-07,2125583328.69,23577622,11444842,22198
NY,2024-08,2109105334.0900002,22209779,10759489,22347
CA,2023-08,2100807948.0900002,39004189,28832308,25140
CA,2023-10,2095808946.9900012,36699625,27146342,24698
CA,2024-02,2094131392.179999,37685948,27704624,24144
NY,2022-04,2071070138.6800005,23682363,11876666,23116
NY,2024-09,2063294204.8600001,21818446,10694956,21958
NY,2021-12,2061482992.74,24778320,13100067,22756
CA,2023-03,2047187428.4700003,39485729,28584552,25642
CA,2023-05,2022158531.77,38536321,28012833,25429
CA,2024-07,2020537694.66,37780754,28278621,23354
CA,2024-08,2017732514.5400002,38708936,29075927,23544
CA,2024-06,2000159386.6800003,35815962,26588680,23479
NY,2022-01,1992532207.379999,23583937,12249501,22631
NY,2021-10,1991402768.9399996,24858476,13346900,23700
CA,2023-11,1978427205.6600003,35724921,26122450,24060
NY,2021-08,1931142603.04,23878873,12571152,23159
NY,2021-11,1930469915.67,23637528,12488837,23043
NY,2021-03,1923615139.8700001,24743996,13210331,24600
NY,2021-07,1922890364.4300003,23062019,11718225,22849
CA,2023-09,1917012846.3999996,35717638,26347730,24031
NY,2024-11,1914635992.86,18557902,8252430,17961
NY,2021-09,1893616951.8400004,23662621,12661404,23262
NY,2022-02,1871542942.7,21898885,11251209,22414
NY,2021-04,1871330962.259999,23503696,12345648,23829
CA,2023-12,1870352691.9499989,33445554,24485958,23444
NY,2021-06,1868707875.4599996,23201881,12159376,24011
NY,2020-01,1858494592.7199993,23882711,11996000,25699
CA,2023-06,1856587723.8,36140170,26652231,25086
NY,2021-05,1850626638.3199992,22646584,11564493,23324
CA,2023-01,1835617922.7099996,35351508,25670711,25245
CA,2023-04,1834366163.1,35162458,25708016,24863
CA,2023-07,1829707388.1399999,34058124,25159331,24463
CA,2022-03,1818555621.989999,35914367,25391850,24836
CA,2024-09,1816736946.8600004,35461013,26659236,22823
NY,2020-10,1800218655.03,22941270,11972968,23369
NY,2021-01,1785139178.4399989,21890091,11237369,22648
CA,2024-10,1775940870.08,36735407,27820686,21959
NY,2020-12,1763279046.03,21318060,10446717,21749
CA,2022-08,1757624587.1399999,35468167,25696067,24953
CA,2023-02,1751983509.1499994,33842895,24714130,24816
NY,2019-10,1736988654.4500005,23156892,11579794,25231
CA,2022-10,1719904088.8300006,33172459,24405856,24875
CA,2022-09,1710017953.1000001,34101270,24526083,24579
NY,2020-11,1699151501.2399998,20999666,10677607,21937
NY,2019-11,1697818146.0300007,21525880,10424187,23796
NY,2020-02,1696628568.3299992,21606192,10763094,24243
NY,2019-12,1690296503.08,21154400,10146367,23179
NY,2020-09,1689611799.1099982,21591285,11428526,22846
NY,2020-07,1677049748.8899999,20216610,9977077,21784
CA,2022-12,1662366980.3700001,32373318,23171900,24279
NY,2020-08,1660700308.0099998,20427938,10409525,21927
CA,2021-03,1658898182.1299992,32619908,23028146,24530
CA,2022-01,1630017205.5400002,32536876,23077884,23776
CA,2021-08,1624311568.8900006,33050209,23725563,24165
NY,2021-02,1623532252.1400008,19735090,10146796,21534
CA,2021-09,1601104448.1100004,32648346,23095946,24022
NY,2020-03,1593696064.8399994,18068318,7998471,21118
CA,2022-04,1593329073.4800005,31511061,22499113,23962
CA,2021-04,1591492954.2599998,31329435,22360209,24253
CA,2021-10,1585543059.8500004,31567427,22470757,24108
CA,2022-11,1568706831.1700003,31408484,22878235,24559
CA,2021-06,1544515212.8800004,30757230,22205971,24060
NY,2020-06,1543792424.1500003,17916190,8491899,20346
CA,2022-02,1536515229.3899996,30268677,21469903,23688
CA,2021-07,1535601588.7599998,30886941,22086800,23776
CA,2021-11,1531945837.9699998,31215747,22107918,23699
CA,2020-10,1521268366.14,28893423,20441111,23556
CA,2021-12,1512155564.02,30159725,21306009,23332
CA,2021-05,1500768314.6299996,29526328,21123489,23862
CA,2020-01,1482107016.360001,31940002,22529058,23994
NY,2020-05,1437690190.2100005,14616544,5632129,15933
CA,2020-09,1434842618.15,28518557,19884971,23182
CA,2022-05,1427929006.4100003,29558545,20954632,23751
CA,2021-01,1414619615.56,27287392,18869262,22803
CA,2020-12,1411453915.4700003,26996245,18507885,22391
CA,2019-04,1409555586.1299999,28085681,19874715,23434
CA,2021-02,1400531345.0700004,27373838,19182530,23163
CA,2019-03,1400090293.1800013,28343697,20235061,23526
CA,2019-05,1399944448.4699998,27858825,19555967,23338
CA,2022-06,1395233965.0900004,29279244,21063444,23697
CA,2020-07,1392260466.1799998,26956443,18639722,22175
CA,2018-10,1382471466.8700001,28863423,20380371,23719
CA,2018-01,1378628388.36,27816855,19655348,23938
CA,2019-01,1375322271.8899999,28316042,20167246,23615
CA,2020-08,1375288694.04,26871772,18698698,22580
CA,2020-02,1372852976.19,29246842,20803459,23544
CA,2022-07,1360223509.8399997,28432517,20571828,23506
CA,2020-11,1348136298.7199998,25979399,18252401,22711
CA,2019-10,1335160903.2599998,30042110,21052819,23469
