claim_month,total_paid,total_claims,total_beneficiaries
2018-01,9232048522.369884,187217689,113342897
2018-02,8420467832.3599205,171352502,104351414
2018-03,9129935988.659927,183682093,110825567
2018-04,8981173692.469929,179619696,107694834
2018-05,9384689427.049904,185076176,110182879
2018-06,8607149265.4499,164850507,100094343
2018-07,8854594623.629864,169724543,102373426
2018-08,9492334835.449902,186434915,113633755
2018-09,8661621043.369877,168487953,100688468
2018-10,9921379666.379873,198197925,118334299
2018-11,9072923512.379938,173605775,102742360
2018-12,8907431063.819914,166190908,96922801
2019-01,10529905105.899982,202463697,119769828
2019-02,9680573063.789955,187149977,111443392
2019-03,10638499933.200176,202656457,120287086
2019-04,10662800690.750134,204034522,120056910
2019-05,10788430160.420113,203400802,118335223
2019-06,9722889154.489986,179172702,106684985
2019-07,10364775003.790022,193812066,114502037
2019-08,10628704037.170134,202465238,120864691
2019-09,10530148010.350159,201493119,118468405
2019-10,11890862793.230137,229836010,135188555
2019-11,10694811682.100098,197813102,116101805
2019-12,10773796446.440153,195213165,114234300
2020-01,12417328718.270067,231493965,137689829
2020-02,11387443071.260124,210768595,125598414
2020-03,10327180044.760036,175476623,99482797
2020-04,8541553016.110074,126498275,61588397
2020-05,9276309404.630102,146927456,78755754
2020-06,10386347586.830069,180029356,106053452
2020-07,11043497587.590126,193266077,114313859
2020-08,10945591115.50008,193099010,115506523
2020-09,11345841778.780117,204909864,123211041
2020-10,12256768912.530197,220267867,132414607
2020-11,11824939391.280094,207113269,122921505
2020-12,12337430898.160015,214312315,124912560
2021-01,12594444977.41007,222768005,132228710
2021-02,11715579066.730053,206952736,124043876
2021-03,14136311330.650316,258070549,156505580
2021-04,13565862878.510063,245380331,149825892
2021-05,13208518113.690166,232574191,140839982
2021-06,13415399746.470043,237429997,146382446
2021-07,13562082770.47007,238882520,145916059
2021-08,14202719417.500221,256226837,160167062
2021-09,14024666614.7401,255309350,157555104
2021-10,14165659978.040224,255714420,156923616
2021-11,13904172445.350111,248630420,152067680
2021-12,14062529938.43003,246625408,150467545
2022-01,14412456539.880022,251898388,154227930
2022-02,13250746218.500023,235438630,142007832
2022-03,15695994584.590212,280314489,168967395
2022-04,14609179171.900103,254562730,152489004
2022-05,14956401093.080185,257888000,153619367
2022-06,14650484215.68011,250499963,151557080
2022-07,14067993433.620058,234428626,140813991
2022-08,15825029409.540184,273676256,168047334
2022-09,15268172192.71007,263892615,160193966
2022-10,15854981611.14009,269996140,165023707
2022-11,15675981809.010195,263677624,161598929
2022-12,15297538611.299992,251420641,151497788
2023-01,16594310221.530146,280827661,169068899
2023-02,15394753399.570261,259922326,159161069
2023-03,17668427237.49988,298461892,181503538
2023-04,16091892914.070208,265379484,160074705
2023-05,17280277362.920074,287129748,173088160
2023-06,16029192012.870274,261269038,159831609
2023-07,15725897305.959974,246824756,149350862
2023-08,17348504365.5797,279910801,172191912
2023-09,16361790144.499907,259464154,157552161
2023-10,17484140655.94985,276564708,167534255
2023-11,16663518408.740088,259356081,156863590
2023-12,16152279164.089952,243448023,146156238
2024-01,17783239324.269913,272010590,162984803
2024-02,17169976799.300222,266795878,160469214
2024-03,17501161887.450108,264969435,158793817
2024-04,17396698624.100136,267197354,160628916
2024-05,17580257320.490067,262777836,157025310
2024-06,15770419278.260094,228543520,137979972
2024-07,16423060106.690039,242983356,146362442
2024-08,16347006139.25001,246659583,152243897
2024-09,15626350800.429976,233168618,143311522
2024-10,16310402111.529871,244177082,150107391
2024-11,12874830358.750015,183954822,112295024
2024-12,4199364318.949994,63394189,40837668
